query,batch_index,index_of_audio_output_tensor),audio_file_name,similarity_score_by_model,user_relevance_score,group
street music playing in the background where gun shots are fired,3075,218,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_street_music_4.wav,0.3688,8
street music playing in the background where gun shots are fired,3075,429,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_engine_idling_gun_shot_1.wav,0.3148,1
street music playing in the background where gun shots are fired,3075,428,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_children_playing_street_music_4.wav,0.4074,5
street music playing in the background where gun shots are fired,3075,204,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_car_horn_children_playing_12.wav,0.3897,5
street music playing in the background where gun shots are fired,3075,336,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_children_playing_gun_shot_9.wav,0.3274,1
street music playing in the background where gun shots are fired,3075,415,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_street_music_children_playing_12.wav,0.3414,4
street music playing in the background where gun shots are fired,3075,257,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_siren_children_playing_8.wav,0.3426,1
street music playing in the background where gun shots are fired,3075,351,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_siren_9.wav,0.3658,5
street music playing in the background where gun shots are fired,3075,420,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_car_horn_9.wav,0.3873,9
street music playing in the background where gun shots are fired,3075,102,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_children_playing_8.wav,0.3644,5
street music playing in the background where gun shots are fired,6840,12,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_siren_1.wav,0.3189,5
street music playing in the background where gun shots are fired,6840,322,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_street_music_children_playing_8.wav,0.3748,1
street music playing in the background where gun shots are fired,6840,246,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_street_music_8.wav,0.5299,10
street music playing in the background where gun shots are fired,6840,32,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_car_horn_street_music_9.wav,0.3175,5
street music playing in the background where gun shots are fired,6840,319,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_engine_idling_children_playing_4.wav,0.3126,8
street music playing in the background where gun shots are fired,6840,231,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_children_playing_car_horn_1.wav,0.3135,1
street music playing in the background where gun shots are fired,6840,350,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_street_music_siren_12.wav,0.3323,1
street music playing in the background where gun shots are fired,6840,238,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_street_music_9.wav,0.4455,10
street music playing in the background where gun shots are fired,6840,330,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_children_playing_12.wav,0.3684,8
street music playing in the background where gun shots are fired,6840,155,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_street_music_12.wav,0.4515,8
gunshot in the background while street music in the foreground,3105,336,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_children_playing_gun_shot_9.wav,0.4457,1
gunshot in the background while street music in the foreground,3105,12,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_siren_1.wav,0.4067,1
gunshot in the background while street music in the foreground,3105,420,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_car_horn_9.wav,0.4905,3
gunshot in the background while street music in the foreground,3105,351,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_siren_9.wav,0.4697,5
gunshot in the background while street music in the foreground,3105,68,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_dog_bark_street_music_1.wav,0.428,4
gunshot in the background while street music in the foreground,3105,428,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_children_playing_street_music_4.wav,0.4359,4
gunshot in the background while street music in the foreground,3105,307,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_air_conditioner_12.wav,0.441,1
gunshot in the background while street music in the foreground,3105,102,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_children_playing_8.wav,0.4435,4
gunshot in the background while street music in the foreground,3105,204,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_car_horn_children_playing_12.wav,0.4574,1
gunshot in the background while street music in the foreground,3105,4,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_children_playing_street_music_8.wav,0.4416,1
gunshot in the background while street music in the foreground,6719,218,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_street_music_4.wav,0.4162,7
gunshot in the background while street music in the foreground,6719,313,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_engine_idling_12.wav,0.4491,4
gunshot in the background while street music in the foreground,6719,246,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_street_music_8.wav,0.5471,5
gunshot in the background while street music in the foreground,6719,64,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_car_horn_1.wav,0.4151,4
gunshot in the background while street music in the foreground,6719,347,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_siren_8.wav,0.4045,4
gunshot in the background while street music in the foreground,6719,322,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_street_music_children_playing_8.wav,0.4065,1
gunshot in the background while street music in the foreground,6719,231,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_children_playing_car_horn_1.wav,0.4325,4
gunshot in the background while street music in the foreground,6719,155,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/dh-new_scapes/uniform_soundscape_gun_shot_street_music_12.wav,0.5091,6
